                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1812,                 3.4281,                  3.102,                      0,                      0,                      0,                      0,                  4.823,                 7.8116,                 3.8375,             0.00011432,             0.00011432,             0.00011432
                      2,                  2.718,                 2.9419,                 2.6695,                0.00638,                    0.6,                0.22608,                0.02875,                 3.8773,                 6.8342,                 2.8955,             0.00024052,             0.00024052,             0.00024052
                      3,                 2.1798,                 2.5638,                 2.3431,                0.00765,                    0.8,                0.28533,                0.03642,                 3.4641,                 6.4191,                  2.536,             0.00036418,             0.00036418,             0.00036418
                      4,                  1.788,                 2.2833,                 2.1131,                0.00935,                      1,                0.39068,                0.10349,                  3.001,                 6.3254,                  2.253,              0.0004853,              0.0004853,              0.0004853
                      5,                 1.2058,                 1.9562,                 1.7635,                0.46148,                    0.8,                0.67833,                 0.1979,                 2.9983,                 5.3558,                 2.1826,             0.00060386,             0.00060386,             0.00060386
                      6,                0.90678,                 1.7878,                 1.5716,                0.00721,                    0.6,                0.32481,                0.04233,                 4.0081,                 6.0468,                 2.1076,             0.00071988,             0.00071988,             0.00071988
                      7,                0.73595,                 1.6491,                 1.4772,                0.00721,                    0.6,                0.32481,                0.04233,                 5.3916,                 7.2251,                 2.6906,             0.00083335,             0.00083335,             0.00083335
                      8,                0.63962,                 1.5428,                 1.4053,                0.31833,                    0.4,                0.39638,                0.04298,                 4.0814,                 5.5955,                 2.1726,             0.00094428,             0.00094428,             0.00094428
                      9,                0.49061,                 1.4128,                 1.2985,                0.31833,                    0.4,                0.39638,                0.04298,                 5.1991,                 6.9962,                 2.7351,              0.0010527,              0.0010527,              0.0010527
                     10,                0.44605,                 1.3291,                 1.2706,                 0.0022,                    0.2,                0.02527,                0.00758,                 4.3874,                 6.4603,                 2.4693,              0.0011585,              0.0011585,              0.0011585
